ClinicalCode	Description	FrequencyInData
OLTR.	Test Request: 	21363
16D6.00	Fall	430
ESCTRE9	Referral to cardiologist	292
ESCTOC1	Occupational therapy home visit	281
ESCTAC8	Acute infective exacerbation of chronic obstructive airways disease	262
ESCTPR2	Provision of written information	188
ESCTLI7	Lives with family	147
ESCTHA2	Has mental capacity to give consent	101
ESCTSA1	Safeguarding report	95
ESCTLO4	Long acting reversible contraception declined	86
ESCTRE4	Referral to community-based occupational therapy service	61
ESCTGE3	Genital lichen sclerosus	60
ESCTAS6	Asthma trigger - perfume	49
EGTON8	Insect Bites	38
ESCTMI4	Mixed urinary incontinence	35
ESCTSI7	Signposting	30
ESCTIN7	Infection associated with wound	26
ESCTWE3	Weber type B fracture	26
ESCTIM1	Implementation of aseptic technique	24
ESCTNH1	NHS Continuing Healthcare Checklist Assessment	23
ESCTST7	Strain of neck muscle	22
ETLME1	Memory screening	22
ESCTOP2	Optic cup disc ratio of left eye	19
ESCTOP1	Optic cup disc ratio of right eye	17
ESCTRE6	MSG:Referral to clinical allergist	17
ESCTCL9	Closed fracture of bone of knee joint	16
ESCTDY1	Dying care	16
ESCTHA3	Hamstring injury	16
ESCTLO3	Low sugar diet	16
ESCTNE3	Neutropenic sepsis	16
ESCTDI9	Discharge to home	13
ESCTOP7	Open fracture of phalanx of finger	13
ESCTWE2	Weber type A fracture	12
ESCTAC4	Activities of daily living assessment	11
ESCTLI1	Lives in bungalow	11
ESCTCL8	Closed fracture of phalanx of thumb	10
ESCTUN6	Undifferentiated inflammatory arthritis	10
ESCTEA1	Early satiety	8
ESCTLI2	Lives in rented accommodation	8
ESCTCL2	Clinical summary	7
ESCTGR3	Grip strength	7
ESCTOP3	Open wound of abdominal wall	7
ESCTOR1	Oral hygiene education	7
ESCTUL1	Ultrasonography of urinary bladder for post-void residual volume	7
ESCTBR1	Bristol stool form scale	6
ESCTDR1	Drug seeking behaviour	6
ESCTLE2	Leakage from urinary catheter	6
ESCTLO2	Lower gastrointestinal haemorrhage	6
ESCTTR2	Trendelenburg sign negative	6
ESCTWE4	Weber type C fracture	6
ESCTBR4	Bradykinesia	5
ESCTCL4	Closed fracture of skull	5
ESCTFA2	Failed attempted procedure	5
ESCTHI5	History of circumcision	5
ESCTHI7	History of flexible sigmoidoscopy	5
ESCTIN5	Infection associated with indwelling urinary catheter	5
ESCTSI4	Simple renal cyst	5
ESCTAN2	Antalgic gait	4
ESCTNI1	Night pain	4
ESCTPE6	Peripherally inserted central catheter care	4
ESCTSU4	Superficial injury of thumb	4
ESCTTE1	Tendon injury	4
ESCTTR1	Trendelenburg sign positive	4
ESCTWO8	Wound pain	4
ESCTAL3	Allergy to grass pollen	3
ESCTIN3	Indication for procedure	3
ESCTLI8	Lives with roommate	3
ESCTMA1	Major head injury	3
ESCTSU2	Suspected urological cancer	3
ESCTSU3	Superficial injury of pelvic region	3
ESCTUP1	Upper limb ischaemia	3
ESCTBU1	Burn of eye region	2
ESCTCL5	Closed fracture of facial bone	2
ESCTCR6	Crushing injury of hand	2
ESCTEL1	Electronic	2
ESCTEL2	Electrocardiogram, single lead	2
ESCTFO4	Foster father	2
ESCTGR4	Grip strength of left hand	2
ESCTHO3	Home assessment	2
ESCTMO2	Mouth care assessment	2
ESCTOS1	Osteoarthritis of knee	2
ESCTRU1	Rubella immune	2
ESCTSC5	Scab of wound edge	2
ESCTTE3	Tension pneumothorax	2
ESCTTI5	Tinetti falls efficacy score	2
ESCTTO1	Total urinary incontinence	2
