ClinicalCode	Description	FrequencyInData
AMSU28391EMIS	Amitriptyline Hydrochloride  Sugar-free oral solution  25 mg/5 ml	5
AMSU28392EMIS	Amitriptyline Hydrochloride  Sugar-free oral solution  50 mg/5 ml	1
AMTA31586EMIS	Amisulpride  Tablets  50 mg	106
AMTA8386EGTON	Amitriptyline Hydrochloride  Tablets  10 mg	4730
AMTA8388EGTON	Amitriptyline Hydrochloride  Tablets  50 mg	2229
AMTA8390EGTON	Amitriptyline Hydrochloride  Tablets  25 mg	1481
ARTA18226NEMIS	Aripiprazole  Tablets  10 mg	126
ARTA18228NEMIS	Aripiprazole  Tablets  15 mg	8
ARTA18229NEMIS	Aripiprazole  Tablets  30 mg	10
ARTA19379NEMIS	Aripiprazole  Tablets  5 mg	7
BALI4624	Baclofen  Oral Solution, Sugar Free  5 mg/5 ml	278
BATA264	Baclofen  Tablets  10 mg	654
BECA12523NEMIS	Bedranol Sr  Capsules  80 mg	39
BEM/78530NEMIS	Betmiga  M/R tablets  25 mg	1
BETA10381BRIDL	Betahistine Dihydrochloride  Tablets  16 mg	1877
BETA17553NEMIS	Bendroflumethiazide  Tablets  2.5 mg	8901
BETA17554NEMIS	Bendroflumethiazide  Tablets  5 mg	333
BETA339	Betahistine Dihydrochloride  Tablets  8 mg	582
BETA363	Bezalip-Mono  M/R tablets  400 mg	201
BETA4655	Bezafibrate  Tablets  200 mg	627
BETA4656	Bezafibrate  M/R tablets  400 mg	9
BIEY12733NEMIS	Bimatoprost  Eye drops  0.3 mg/ml	163
BIEY40903NEMIS	Bimatoprost  Eye drops  0.1 mg/ml	69
BIOR46716NEMIS	Bisoprolol Fumarate  Oral solution  2.5 mg/5 ml	2
BISU3248	Bisacodyl  Suppositories  10 mg	42
BISU3249	Bisacodyl  Suppositories  5 mg	1
BITA1018NEMIS	Bicalutamide  Tablets  150 mg	74
BITA10630BRIDL	Bisoprolol Fumarate  Tablets  5 mg	6614
BITA2332NEMIS	Bisoprolol Fumarate  Tablets  1.25 mg	6007
BITA2333NEMIS	Bisoprolol Fumarate  Tablets  2.5 mg	8755
BITA2334NEMIS	Bisoprolol Fumarate  Tablets  3.75 mg	1035
BITA2335NEMIS	Bisoprolol Fumarate  Tablets  7.5 mg	512
BITA26636EMIS	Bicalutamide  Tablets  50 mg	157
BITA381	Bisacodyl  E/c tablets  5 mg	1106
BOM/35196NEMIS	Bolamyn Sr  M/R tablets  500 mg	4
BOTA14410NEMIS	Bosentan  Tablets  125 mg	1
BOTA26895EMIS	Bonefos  Tablets  800 mg	90
BREY36487NEMIS	Brinzolamide And Timolol  Eye drops  10 mg/ml + 5 mg/ml	4
BREY3934NEMIS	Brinzolamide  Eye drops  10 mg/ml	903
BREY95049NEMIS	Brinzolamide And Brimonidine  Eye drops  10 mg/ml + 2 mg/ml	1
BRSY408	Bricanyl  Syrup  1.5 mg/5 ml	1
BRTA104652NEMIS	Bramox  Tablets  2.5 mg	8
BRTA104653NEMIS	Bramox  Tablets  5 mg	10
BRTA109522NEMIS	Brivaracetam  Tablets  50 mg	5
BUBU16112NEMIS	Buccastem M  Buccal tablets  3 mg	6
BUCA35547EMIS	Budesonide  Capsules (Gastro-Resistant)  3 mg	2
BUGA52601NEMIS	Budesonide  Gastro-resistant Granules  9 mg sachets	1
BUIN443	Buscopan  Injection  20 mg/ml, 1 ml ampoule	22
BULI433	Bumetanide  Oral Solution, Sugar Free  1 mg/5 ml	2
BUM/101209NEMIS	Budesonide  M/R tablets  9 mg	1
BUM/28270EMIS	Budesonide  M/R capsules (Gastro-Resistant)  3 mg	11
BUNE1884NEMIS	Budesonide  Nebulisation single dose unit  1 mg/2 ml	1
BUOR40613NEMIS	Buccolam  Oromucosal Solution  (5 mg/ml) 7.5 mg/1.5 ml Oral Syringe	6
BUOR40614NEMIS	Buccolam  Oromucosal Solution  (5 mg/ml) 10 mg/2 ml Oral Syringe	11
BUTA10619BRIDL	Buspirone Hydrochloride  Tablets  5 mg	29
BUTA10621BRIDL	Buspirone Hydrochloride  Tablets  10 mg	448
BUTA10623BRIDL	Buspar  Tablets  10 mg	19
BUTA434	Bumetanide  Tablets  1 mg	7130
BUTA435	Bumetanide  Tablets  5 mg	335
BUTA440	Burinex  Tablets  1 mg	16
BUTA444	Buscopan  Tablets  10 mg	253
BUTA4575NEMIS	Bupropion Hydrochloride  M/R tablets  150 mg	3
BUTA5692	Buccastem  Buccal tablets  3 mg	45
BUTA974NEMIS	Bumetanide And Amiloride  Tablets  1 mg + 5 mg	54
CACH8955DLSEM	Carbamazepine  Chewtabs  200 mg	1
CALI10618BRIDL	Carbamazepine  Sugar-free liquid  100 mg/5 ml	24
CAM/6325NEMIS	Carbamazepine  M/R tablets  200 mg	343
CATA3285	Carbamazepine  Tablets  100 mg	205
CATA3286	Carbamazepine  Tablets  200 mg	775
CATA3287	Carbamazepine  Tablets  400 mg	165
CHEL7170	Chlorpromazine Hydrochloride  Oral solution  25 mg/5 ml	3
CHTA598	Chlorpromazine Hydrochloride  Tablets  25 mg	71
CIDR1699NEMIS	Citalopram Hydrochloride  Drops  Sugar Free 40 mg/ml	81
CITA26752EMIS	Citalopram Hydrobromide  Tablets  20 mg	5993
CITA32092EMIS	Citalopram Hydrobromide  Tablets  40 mg	1019
CITA32611EMIS	Citalopram Hydrobromide  Tablets  10 mg	3517
CLCA650	Clomipramine Hydrochloride  Capsules  10 mg	14
CLTA655	Clonazepam  Tablets  2 mg	4
DACA29861NEMIS	Dabigatran Etexilate  Capsules  75 mg	30
